Marca_Modelo,Quantidade
HONDA/CIVIC EX CVT,14468.0
GM/MONZA SL,14460.0
RENAULT/LOGAN EXPR 10,14456.0
HONDA/CG 125 FAN ESD,14453.0
R/FEDERAL CA,14442.0
I/KIA K2500 HD,14427.0
VW/PARATI LS,14422.0
FIAT/STRADA TREK CE FLEX,14413.0
FIAT/LINEA ESSENCE 1.8,14405.0
SR/FACCHINI SRF CF,14393.0
VW/SAVEIRO CL 1.8,14352.0
PEUGEOT/207HB XR S,14347.0
GM/CORSA GL 1.6,14308.0
NISSAN/VERSA 16SL CVT,14305.0
HONDA/NXR160 BROS ESD,14239.0
GM/MONTANA SPORT,14209.0
I/HYUNDAI SANTA FE V6,14195.0
GM/CELTA 5 PORTAS SUPER,14187.0
RENAULT/LOGAN EXP 16 SCE,14174.0
REB/ARTESANAL,14168.0
