Marca_Cod,Marca,Modelo_Cod,Modelo,Ano,Modelo_A,Modelo_B,Modelo_C
41,SsangYong,745,KORANDO,2018,KORANDO,,
41,SsangYong,921,KYRON,2018,KYRON,,
41,SsangYong,2765,XLV,2018,XLV,,
33,Subaru,456,SVX,2018,SVX,,
34,Suzuki,756,SUPER CARRY,2022,SUPER,CARRY,
34,Suzuki,758,VITARA,2022,VITARA,,
34,Suzuki,760,VITARA WAGON,2022,VITARA,WAGON,
47,Troller,771,RF SPORT,2021,RF,SPORT,
47,Troller,772,T4,2021,T4,,
36,Volkswagen,793,BRASILIA,1975,BRASILIA,,
36,Volkswagen,1089,AMAROK,2022,AMAROK,,
36,Volkswagen,475,APOLLO,2022,APOLLO,,
36,Volkswagen,2449,CC,2022,CC,,
36,Volkswagen,829,CROSSFOX,2022,CROSSFOX,,
36,Volkswagen,2825,DELIVERY,2022,DELIVERY,,
36,Volkswagen,774,EUROVAN,2022,EUROVAN,,
36,Volkswagen,478,FOX,2022,FOX,,
36,Volkswagen,479,FUSCA,2022,FUSCA,,
36,Volkswagen,775,GOL FURGAO,2022,GOL,FURGAO,
36,Volkswagen,481,GOLF,2022,GOLF,,
36,Volkswagen,482,GOLF CABRIO,2022,GOLF,CABRIO,
36,Volkswagen,2638,GOLF VARIANT,2022,GOLF,VARIANT,
36,Volkswagen,483,JETTA,2022,JETTA,,
36,Volkswagen,932,JETTA VARIANT,2022,JETTA,VARIANT,
36,Volkswagen,776,KOMBI,2022,KOMBI,,
36,Volkswagen,777,KOMBI FURGÃO,2022,KOMBI,FURGÃO,
36,Volkswagen,778,KOMBI PICK-UP,2022,KOMBI,PICK-UP,
36,Volkswagen,484,LOGUS,2022,LOGUS,,
36,Volkswagen,486,PARATI,2022,PARATI,,
36,Volkswagen,487,PASSAT,2022,PASSAT,,
36,Volkswagen,1072,PASSAT CC,2022,PASSAT,CC,
36,Volkswagen,488,PASSAT VARIANT,2022,PASSAT,VARIANT,
36,Volkswagen,489,POINTER,2022,POINTER,,
36,Volkswagen,491,POLO,2022,POLO,,
36,Volkswagen,490,POLO CLASSIC,2022,POLO,CLASSIC,
36,Volkswagen,492,POLO SEDAN,2022,POLO,SEDAN,
36,Volkswagen,494,QUANTUM,2022,QUANTUM,,
36,Volkswagen,493,SANTANA,2022,SANTANA,,
36,Volkswagen,779,SAVEIRO,2022,SAVEIRO,,
36,Volkswagen,879,SPACEFOX,2013,SPACEFOX,,
36,Volkswagen,2774,T-CROSS,2022,T-CROSS,,
36,Volkswagen,2755,TANGER,2022,TANGER,,
36,Volkswagen,1015,TIGUAN,2022,TIGUAN,,
36,Volkswagen,1061,TL,2022,TL,,
36,Volkswagen,801,TOUAREG,2022,TOUAREG,,
36,Volkswagen,2519,UP!,2022,UP!,,
36,Volkswagen,780,VAN,2022,VAN,,
36,Volkswagen,1037,VARIANT,2022,VARIANT,,
36,Volkswagen,2750,VIRTUS,2022,VIRTUS,,
36,Volkswagen,495,VOYAGE,2022,VOYAGE,,
38,Volvo,496,440,2021,440,,
38,Volvo,499,855,2021,855,,
38,Volvo,2767,S90,2021,S90,,
38,Volvo,853,V50,2021,V50,,
38,Volvo,854,V70,2021,V70,,
38,Volvo,994,XC60,2021,XC60,,
35,Toyota,1117,AVALON,2022,AVALON,,
35,Toyota,1117,AVALON,2021,AVALON,,
35,Toyota,1117,AVALON,2020,AVALON,,
35,Toyota,1117,AVALON,2019,AVALON,,
35,Toyota,1117,AVALON,2018,AVALON,,
35,Toyota,1117,AVALON,2017,AVALON,,
35,Toyota,1117,AVALON,2016,AVALON,,
35,Toyota,1117,AVALON,2015,AVALON,,
35,Toyota,1117,AVALON,2014,AVALON,,
35,Toyota,1117,AVALON,2013,AVALON,,
35,Toyota,1117,AVALON,2012,AVALON,,
35,Toyota,1117,AVALON,2011,AVALON,,
35,Toyota,1117,AVALON,2010,AVALON,,
35,Toyota,1117,AVALON,2009,AVALON,,
35,Toyota,1117,AVALON,2008,AVALON,,
35,Toyota,1117,AVALON,2007,AVALON,,
35,Toyota,1117,AVALON,2006,AVALON,,
35,Toyota,1117,AVALON,2005,AVALON,,
35,Toyota,1117,AVALON,2004,AVALON,,
35,Toyota,1117,AVALON,2003,AVALON,,
35,Toyota,1117,AVALON,2002,AVALON,,
35,Toyota,1117,AVALON,2001,AVALON,,
35,Toyota,1117,AVALON,2000,AVALON,,
35,Toyota,1117,AVALON,1999,AVALON,,
35,Toyota,1117,AVALON,1998,AVALON,,
35,Toyota,1117,AVALON,1997,AVALON,,
35,Toyota,1117,AVALON,1996,AVALON,,
35,Toyota,1117,AVALON,1995,AVALON,,
35,Toyota,1117,AVALON,1994,AVALON,,
35,Toyota,1117,AVALON,1993,AVALON,,
35,Toyota,1117,AVALON,1992,AVALON,,
35,Toyota,467,CELICA,2022,CELICA,,
35,Toyota,467,CELICA,2021,CELICA,,
35,Toyota,467,CELICA,2020,CELICA,,
35,Toyota,467,CELICA,2019,CELICA,,
35,Toyota,467,CELICA,2018,CELICA,,
35,Toyota,467,CELICA,2017,CELICA,,
35,Toyota,467,CELICA,2016,CELICA,,
35,Toyota,467,CELICA,2015,CELICA,,
35,Toyota,467,CELICA,2014,CELICA,,
35,Toyota,467,CELICA,2013,CELICA,,
35,Toyota,467,CELICA,2012,CELICA,,
35,Toyota,467,CELICA,2011,CELICA,,
35,Toyota,467,CELICA,2010,CELICA,,
35,Toyota,467,CELICA,2009,CELICA,,
35,Toyota,467,CELICA,2008,CELICA,,
35,Toyota,467,CELICA,2007,CELICA,,
35,Toyota,467,CELICA,2006,CELICA,,
35,Toyota,467,CELICA,2005,CELICA,,
35,Toyota,467,CELICA,2004,CELICA,,
35,Toyota,467,CELICA,2003,CELICA,,
35,Toyota,467,CELICA,2002,CELICA,,
35,Toyota,467,CELICA,2001,CELICA,,
35,Toyota,467,CELICA,2000,CELICA,,
35,Toyota,467,CELICA,1999,CELICA,,
35,Toyota,467,CELICA,1998,CELICA,,
35,Toyota,467,CELICA,1997,CELICA,,
35,Toyota,467,CELICA,1996,CELICA,,
35,Toyota,467,CELICA,1995,CELICA,,
35,Toyota,467,CELICA,1994,CELICA,,
35,Toyota,467,CELICA,1993,CELICA,,
35,Toyota,467,CELICA,1992,CELICA,,
35,Toyota,468,COROLLA,2022,COROLLA,,
