Marca_Cod,Marca,Modelo_Cod,Modelo,Ano,Modelo_A,Modelo_B
35,Toyota,2418,ETIOS SEDAN,2008,ETIOS,SEDAN
35,Toyota,2418,ETIOS SEDAN,2007,ETIOS,SEDAN
35,Toyota,2418,ETIOS SEDAN,2006,ETIOS,SEDAN
35,Toyota,2418,ETIOS SEDAN,2005,ETIOS,SEDAN
35,Toyota,2418,ETIOS SEDAN,2004,ETIOS,SEDAN
35,Toyota,2418,ETIOS SEDAN,2003,ETIOS,SEDAN
35,Toyota,2418,ETIOS SEDAN,2002,ETIOS,SEDAN
35,Toyota,2418,ETIOS SEDAN,2001,ETIOS,SEDAN
35,Toyota,2418,ETIOS SEDAN,2000,ETIOS,SEDAN
35,Toyota,2418,ETIOS SEDAN,1999,ETIOS,SEDAN
35,Toyota,2418,ETIOS SEDAN,1998,ETIOS,SEDAN
35,Toyota,2418,ETIOS SEDAN,1997,ETIOS,SEDAN
35,Toyota,2418,ETIOS SEDAN,1996,ETIOS,SEDAN
35,Toyota,2418,ETIOS SEDAN,1995,ETIOS,SEDAN
35,Toyota,2418,ETIOS SEDAN,1994,ETIOS,SEDAN
35,Toyota,2418,ETIOS SEDAN,1993,ETIOS,SEDAN
35,Toyota,2418,ETIOS SEDAN,1992,ETIOS,SEDAN
35,Toyota,2758,YARIS HATCH,2022,YARIS,HATCH
35,Toyota,2758,YARIS HATCH,2021,YARIS,HATCH
35,Toyota,2758,YARIS HATCH,2020,YARIS,HATCH
35,Toyota,2758,YARIS HATCH,2019,YARIS,HATCH
35,Toyota,2758,YARIS HATCH,2018,YARIS,HATCH
35,Toyota,2758,YARIS HATCH,2017,YARIS,HATCH
35,Toyota,2758,YARIS HATCH,2016,YARIS,HATCH
35,Toyota,2758,YARIS HATCH,2015,YARIS,HATCH
35,Toyota,2758,YARIS HATCH,2014,YARIS,HATCH
35,Toyota,2758,YARIS HATCH,2013,YARIS,HATCH
